Generations	Time	GTA+	GTA-
[276]	time[276]= 6.691906e+01	97423379	892573511
[277]	time[277]= 6.727243e+01	97419954	892582619
[278]	time[278]= 6.762564e+01	97418345	892589700
[279]	time[279]= 6.797837e+01	97415274	892597751
[280]	time[280]= 6.833222e+01	97412346	892605072
[281]	time[281]= 6.868541e+01	97411285	892612962
[282]	time[282]= 6.903839e+01	97408991	892620945
[283]	time[283]= 6.939151e+01	97405289	892628297
[284]	time[284]= 6.974524e+01	97402630	892635127
[285]	time[285]= 7.009912e+01	97400486	892641665
[286]	time[286]= 7.045237e+01	97397843	892648719
[287]	time[287]= 7.080655e+01	97395537	892653885
[288]	time[288]= 7.116039e+01	97393476	892660136
[289]	time[289]= 7.151434e+01	97389896	892665966
[290]	time[290]= 7.186796e+01	97386738	892672616
[291]	time[291]= 7.222136e+01	97384123	892679128
[292]	time[292]= 7.257520e+01	97382440	892684395
[293]	time[293]= 7.292928e+01	97379375	892691147
[294]	time[294]= 7.328313e+01	97375916	892697836
[295]	time[295]= 7.363723e+01	97372493	892703160
[296]	time[296]= 7.399158e+01	97368127	892708814
[297]	time[297]= 7.434564e+01	97366155	892712793
[298]	time[298]= 7.469942e+01	97361354	892719017
[299]	time[299]= 7.505336e+01	97358564	892724878
[300]	time[300]= 7.540747e+01	97356771	892729663
[301]	time[301]= 7.576223e+01	97352836	892734734
[302]	time[302]= 7.611660e+01	97348405	892740857
[303]	time[303]= 7.647100e+01	97345192	892745774
[304]	time[304]= 7.682499e+01	97343510	892750576
[305]	time[305]= 7.717946e+01	97340485	892754675
[306]	time[306]= 7.753399e+01	97337926	892761152
[307]	time[307]= 7.788826e+01	97334560	892766764
[308]	time[308]= 7.824298e+01	97331192	892772148
[309]	time[309]= 7.859675e+01	97328085	892777020
[310]	time[310]= 7.895088e+01	97324982	892783818
[311]	time[311]= 7.930550e+01	97321213	892789918
[312]	time[312]= 7.966040e+01	97317790	892794915
[313]	time[313]= 8.001574e+01	97313276	892800008
[314]	time[314]= 8.036980e+01	97310413	892804363
[315]	time[315]= 8.072445e+01	97307225	892809157
[316]	time[316]= 8.107937e+01	97305265	892813505
